Customer_ID,Store_ID,Order_Date_ID,Product_ID,Quantity_Ordered,Order_Amount,Discount_Amount,Shipping_Cost,Total_Amount
658,23,20250130,781,10,103,5.34,10.64,87.02
299,23,20250130,870,5,260,28.03,32.02,199.95
618,23,20250130,650,6,633,57.98,88.3,486.72
302,23,20250130,896,6,840,55.48,124.55,659.97
176,23,20250130,142,18,744,43.81,75.88,624.31
148,23,20250130,827,16,246,26.8,33.12,186.07999999999998
465,23,20250130,490,20,144,11.66,19.6,112.74
885,23,20250130,142,3,311,36.27,40.6,234.13
159,23,20250130,673,12,998,36.67,61.74,899.59
191,23,20250130,7,18,953,65.29,93.88,793.8299999999999
664,23,20250130,689,9,654,65.2,88.23,500.57
931,23,20250130,574,2,725,25.42,96.0,603.58
917,23,20250130,43,8,140,3.19,13.35,123.46000000000001
406,23,20250130,702,18,179,25.53,25.76,127.71
45,23,20250130,716,14,406,12.4,29.24,364.36
720,23,20250130,308,4,362,8.8,39.19,314.01
729,23,20250130,779,9,755,38.46,96.98,619.56
304,23,20250130,86,4,402,18.27,45.42,338.31
740,23,20250130,330,14,548,23.72,37.96,486.32
79,23,20250130,294,18,888,96.87,50.72,740.41
346,23,20250130,243,4,114,7.6,9.23,97.17
639,23,20250130,718,3,388,20.55,48.68,318.77
649,23,20250130,951,15,832,71.71,119.73,640.56
800,23,20250130,547,13,265,7.98,38.1,218.92000000000002
345,23,20250130,329,19,474,21.4,57.03,395.57
975,23,20250130,622,17,319,30.06,21.27,267.67
145,23,20250130,93,11,185,18.87,12.42,153.71
343,23,20250130,200,9,971,76.28,132.86,761.86
522,23,20250130,189,8,807,23.43,103.3,680.27
44,23,20250130,481,7,373,32.24,41.26,299.5
386,23,20250130,561,9,266,39.42,30.1,196.48
517,23,20250130,212,9,932,92.11,46.85,793.04
252,23,20250130,614,7,940,60.94,133.89,745.1700000000001
80,23,20250130,739,10,389,10.22,24.9,353.88
211,23,20250130,656,17,186,14.57,25.82,145.61
90,23,20250130,675,4,682,58.54,72.44,551.02
973,23,20250130,729,17,152,15.83,18.84,117.33
16,23,20250130,830,19,182,17.37,19.28,145.35
410,23,20250130,637,19,294,15.07,15.43,263.5
270,23,20250130,425,17,231,32.54,19.13,179.32999999999998
447,23,20250130,210,6,162,8.06,17.24,136.7
5,23,20250130,11,16,214,20.76,24.86,168.38
991,23,20250130,451,13,758,62.5,74.03,621.47
131,23,20250130,626,3,436,64.11,62.97,308.92
771,23,20250130,10,18,649,58.44,53.47,537.09
975,23,20250130,564,17,483,13.78,57.95,411.27
851,23,20250130,961,13,766,80.43,111.16,574.41
